wine_index,pH,residual_sugar,sulphates,density,chlorides,alcohol,quality
492,3.34,2.5,0.79,0.9952,0.055,13.3,7
493,3.32,2.6,0.9,0.995,0.052,13.4,7
494,3.48,3,0.74,1.0002,0.086,11.6,6
495,3.44,8.3,0.55,0.9952,0.051,12.1,6
496,3.15,2.6,0.65,0.9972,0.07,11,8
497,3.43,1.9,0.65,0.9984,0.081,9,6
498,3.32,2.5,0.79,0.9966,0.09,11.1,5
499,3.15,2.6,0.65,0.9972,0.07,11,8
500,3.48,3,0.74,1.0002,0.086,11.6,6
501,3.43,1.9,0.65,0.9984,0.081,9,6
502,3.17,6.55,0.85,0.999,0.074,12,7
503,3.17,6.55,0.85,0.999,0.074,12,7
504,3.18,1.9,1.04,0.9976,0.078,10.9,7
505,3.21,1.8,1.05,0.9976,0.077,10.8,7
506,3.16,2.9,0.78,0.9968,0.072,12.5,7
507,3.25,1.8,1.02,0.9976,0.075,10.8,7
508,3.17,2.3,0.71,1,0.084,9.5,6
509,3.18,2.2,0.63,0.9994,0.09,10.2,6
510,3.04,2.8,0.68,0.9986,0.084,11.4,7
511,3.02,4.6,0.61,0.9978,0.073,9.5,5
512,3.18,2.2,0.63,0.9994,0.09,10.2,6
513,3.03,2.1,0.81,0.998,0.125,9.7,6
514,3.09,2.4,0.66,0.9973,0.107,11.8,7
515,3.09,2.4,0.66,0.9973,0.107,11.8,7
516,3.31,6.1,1.14,1.001,0.122,9.3,5
517,3.25,4.3,0.74,1.001,0.1,11.9,6
518,3.16,2.1,0.63,0.9994,0.2,8.4,3
519,3.22,2.8,0.68,0.9972,0.088,11.7,6
520,3.36,2.5,0.78,0.9966,0.088,11,5
521,3.42,2.7,0.9,0.9982,0.088,10,6
522,3.48,2,0.64,0.998,0.088,9.1,5
523,3.38,2.3,0.99,0.9979,0.099,9.8,5
524,3.22,2.5,0.55,0.9978,0.085,9.4,5
525,3.23,2.4,0.64,0.9976,0.086,9.5,5
526,3.24,2.8,0.67,0.9998,0.105,9.9,5
527,3.36,2.5,0.78,0.9966,0.088,11,5
528,3.39,2.5,0.77,0.9962,0.097,11.4,6
529,3.34,2.6,0.75,0.9988,0.084,8.7,6
530,3.09,2.4,0.57,0.9974,0.077,9.4,5
531,3.41,2.1,0.87,0.999,0.078,10.3,6
532,3.16,2.7,0.61,1.0004,0.098,10.3,5
533,3.16,2.7,0.61,1.0004,0.098,10.3,5
534,3.22,2.1,0.66,0.9956,0.072,12.8,6
535,3.28,2.7,0.56,1,0.102,10,6
536,3.41,2.1,0.87,0.999,0.078,10.3,6
537,3.09,2.4,0.57,0.9974,0.077,9.4,5
538,3.37,2.1,0.77,0.9972,0.084,10.7,6
539,3.2,5.8,0.66,1.0014,0.066,12,7
540,3.22,5.15,0.62,0.9996,0.1,11.2,5
541,3.26,3.3,0.67,0.9988,0.101,9.6,5
542,3.21,6.3,0.73,0.9988,0.064,11,6
543,3.12,2.1,0.59,0.9966,0.07,9.9,5
544,3.06,2.5,0.72,0.9993,0.085,11,6
545,2.86,1.8,0.79,1.0008,0.075,8.4,6
546,3.08,2.6,0.59,0.9982,0.094,9.1,5
547,3.45,2,0.78,0.9983,0.078,9.5,6
548,3.26,2.5,0.86,0.9987,0.067,10.7,6
549,3.12,2.6,0.75,0.9994,0.079,10.4,6
550,3.27,1.9,0.61,0.9975,0.171,9.4,6
551,3.33,2.1,0.56,0.9958,0.074,9.5,6
552,3.19,2.8,0.73,0.998,0.092,10,6
553,3.12,2.7,0.74,0.998,0.092,10,6
554,3.74,1.6,0.62,0.9934,0.05,11.5,5
555,2.92,4.2,0.74,1.00315,0.095,11.1,5
556,2.92,4.2,0.74,1.00315,0.095,11.1,5
557,3.07,4.6,0.56,1.0002,0.118,11.7,6
558,2.92,4.2,0.74,1.00315,0.095,11.1,5
559,3.07,4.6,0.56,1.0002,0.118,11.7,6
560,3.3,4.3,0.68,1.0021,0.085,12.7,6
561,3.14,2.8,0.57,0.9994,0.075,11.4,5
562,3.23,2.4,0.58,0.9978,0.078,9.2,5
563,3.08,2.9,0.61,0.9982,0.094,9.2,5
564,3.31,2.7,0.61,0.9971,0.092,10.1,6
565,3.3,4.3,0.68,1.0021,0.085,12.7,6
566,3.14,2.8,0.57,0.9994,0.075,11.4,5
567,3.32,2.5,0.6,0.9991,0.226,9,6
568,3.32,2.5,0.6,0.9991,0.226,9,6
569,3.31,2.6,0.79,0.999,0.25,10.7,6
570,3.57,2.2,0.57,0.9946,0.095,11.7,6
571,3.32,3.3,0.91,1.0003,0.07,11,6
572,3.57,2.2,0.57,0.9946,0.095,11.7,6
573,3.14,2.4,0.61,0.9978,0.075,10.4,5
574,3.3,2.1,0.56,0.9991,0.07,9.6,4
575,3.19,3.2,0.7,0.9992,0.078,10,6
576,3.2,3.1,0.8,0.9993,0.079,10.2,6
577,3.34,2.3,0.52,0.9978,0.103,10,4
578,3.3,2.8,0.6,0.9982,0.083,9.5,5
579,3.29,2.9,0.6,0.9982,0.085,9.8,5
580,3.14,2.2,0.51,0.9976,0.063,9.8,6
581,3.19,2.2,0.44,1.0002,0.089,9.6,5
582,3.19,2.2,0.44,1.0002,0.089,9.6,5
583,3.19,2.2,0.43,1,0.083,9.2,5
584,2.98,1.9,0.66,0.9976,0.074,9.9,7
585,3.3,3.4,0.76,1.0002,0.093,10.7,7
586,3.47,2.4,0.66,0.998,0.091,9.6,6
587,3.12,2.7,1.02,0.9986,0.094,10.6,7
588,3.26,1.9,0.59,0.9967,0.108,9.3,5
589,3.72,2,0.74,0.9917,0.06,14,8
590,3.05,2.6,0.74,0.9976,0.059,10.5,7
591,3.35,2.6,0.57,0.9987,0.084,9.7,5
592,3.12,1.7,0.5,0.9922,0.07,11.5,6
593,3.35,2.6,0.57,0.9987,0.084,9.7,5
594,3.29,3.5,0.58,1.0004,0.094,9,5
595,3.4,2.6,0.53,0.9978,0.096,9.5,5
596,3.27,7.9,0.57,0.9998,0.086,9.3,5
597,3.04,2,0.6,0.9994,0.059,9.3,6
598,3.09,1.9,0.63,0.998,0.071,10,6
599,3.2,2.1,0.48,0.9967,0.078,9.8,6
600,3,2.3,0.7,1,0.082,9.3,6
601,3.26,2.1,0.47,0.9962,0.088,10,4
602,3.1,2.2,0.56,1.0006,0.071,9,6
603,3.3,2.6,0.52,0.9975,0.081,9.3,5
604,3.1,2.2,0.56,1.0006,0.071,9,6
605,3.17,2.9,0.62,0.9984,0.096,9.1,6
606,3.31,2.6,0.59,0.9984,0.085,9.2,6
607,3.34,4.6,0.79,0.9973,0.072,12.2,7
608,3.31,3.3,0.53,0.9982,0.092,10.5,6
609,3.32,5.1,0.64,1.0026,0.11,10.4,6
610,3.56,3.2,0.52,0.9956,0.075,12.7,6
611,3.39,2.5,0.54,0.9983,0.083,9.2,5
612,2.98,2.7,0.54,1.0006,0.081,9.4,5
613,3.32,2.4,0.6,0.9965,0.077,10,6
614,3.26,1.5,0.74,0.9962,0.058,9.8,5
615,2.87,2.2,1.36,0.9969,0.148,10.2,6
616,3.5,2.3,0.57,0.9997,0.079,9.7,5
617,3.5,2.3,0.57,0.9997,0.079,9.7,5
618,3.03,2.2,0.93,0.9982,0.079,9.8,6
619,3.13,2.7,0.7,1.0006,0.122,10.2,5
620,3.09,2.3,0.8,0.9988,0.088,9.3,5
621,3.27,3.4,0.61,0.9976,0.076,9.4,5
622,3.28,3.4,0.62,0.9976,0.078,9.4,5
623,3.13,1.9,0.55,0.9974,0.08,9.5,5
624,3.49,2.9,0.96,0.9974,0.077,12.1,6
625,3.46,5.6,0.72,0.9997,0.124,10.2,5
626,3.46,5.6,0.72,0.9997,0.124,10.2,5
627,3.36,2.2,0.49,0.9988,0.098,9.1,5
628,3.36,2.2,0.49,0.9988,0.098,9.1,5
629,3.27,2.5,0.6,0.9976,0.097,9.3,6
630,3.21,2.3,0.61,0.9964,0.111,9.3,5
631,3.27,2.5,0.6,0.9976,0.097,9.3,6
632,3.25,2.7,0.63,0.9988,0.105,9.5,5
633,3.32,3,0.57,0.9964,0.087,10.5,6
634,3.43,3.4,0.64,1.001,0.105,11.3,4
635,3.27,1.9,0.58,0.9964,0.073,9.5,5
636,3.27,1.4,0.55,0.9954,0.065,9.7,5
637,3.24,2.4,0.53,0.9979,0.086,9.4,5
638,3.24,2.3,0.53,0.9978,0.084,9.4,5
639,3.35,2.2,0.65,0.9964,0.143,10.2,7
640,3.18,1.9,1.36,0.997,0.067,10.3,6
641,3.39,2.3,0.62,0.9991,0.071,9.4,5
642,3.46,2.3,0.63,0.9992,0.071,9.5,5
643,3.39,2.3,0.62,0.9991,0.071,9.4,5
644,3.46,2.3,0.63,0.9992,0.071,9.5,5
645,3.39,2.3,0.62,0.9991,0.071,9.4,5
646,3.37,6,0.69,0.9984,0.115,10.1,7
647,3.4,3.6,0.63,0.9972,0.107,10.1,5
648,3.32,2.2,0.58,0.9967,0.07,11,4
649,3.33,2.8,0.67,0.9964,0.066,11.2,7
650,3.16,8.6,0.57,0.9948,0.068,11.3,6
651,2.89,2.2,0.5,0.9986,0.106,9.6,5
652,3.41,2.5,0.67,1.001,0.104,11.2,5
653,2.98,7.5,0.84,0.9976,0.096,14.9,5
654,3.12,2.8,0.54,0.9976,0.079,12,6
655,3.08,2.4,0.46,0.9979,0.074,9.5,5
656,3.14,2.9,0.61,1.0004,0.087,9.4,5
657,2.89,2.2,0.5,0.9986,0.106,9.6,5
658,2.92,1.4,0.68,0.998,0.073,10.5,7
659,3.32,1.4,0.81,0.9973,0.074,9.6,6
660,3.41,4.4,0.57,0.997,0.096,11,4
661,3.32,1.4,0.81,0.9973,0.074,9.6,6
662,3.31,1.6,0.64,0.9978,0.08,9,5
663,3.36,1.6,0.7,0.9972,0.076,9.6,6
664,3.04,1.8,0.79,0.9974,0.05,10.2,6
665,3.03,2,0.66,1,0.092,10.2,5
666,3.14,2,0.56,0.9981,0.084,9.7,5
667,3.18,1.8,0.6,0.998,0.222,9.5,6
668,2.94,2,0.66,0.9988,0.082,9.2,6
669,3.15,2.3,0.57,0.9966,0.059,11,5
670,2.94,2,0.66,0.9988,0.082,9.2,6
671,3.26,2.5,0.58,0.9959,0.083,10,5
672,3.2,1.7,0.52,0.9968,0.074,9.5,5
673,3.15,2,0.53,0.998,0.079,9.5,5
674,3.2,1.7,0.52,0.9968,0.074,9.5,5
675,3.08,2.2,0.67,0.9984,0.084,9.3,6
676,3.26,2.2,0.65,0.9984,0.064,10.2,5
677,3.08,2.2,0.67,0.9984,0.084,9.3,6
678,3.4,2.3,0.48,0.9979,0.084,9.9,5
679,3.48,2.6,0.53,0.9983,0.081,10,5
680,3.13,3.3,0.54,0.9972,0.06,9.6,5
681,3.06,1.9,0.49,1.0004,0.07,9,5
682,3.21,2.2,0.49,0.9962,0.094,10.2,6
683,3.33,2.25,0.54,0.998,0.078,9.8,5
684,3.37,2.6,0.56,0.997,0.059,11.3,5
685,3.25,2.3,0.48,0.998,0.078,9.4,5
686,3.37,2.6,0.56,0.997,0.059,11.3,5
687,3.44,1.8,0.6,0.997,0.07,9.1,5
688,3.28,3.1,0.59,0.9998,0.095,9.7,5
689,3.4,1.6,0.47,0.9962,0.039,9.4,5
690,3.3,1.8,1.05,0.9976,0.157,9.4,5
691,3.63,4.25,0.54,0.9966,0.097,10.7,3
692,3.48,2.6,0.54,0.9998,0.087,9.8,5
693,3.03,2,1.17,0.9979,0.422,9,5
694,3.32,2.8,0.62,0.9984,0.084,9.4,5
695,3.31,2.7,0.61,0.9984,0.084,9.4,5
696,3.9,1.3,0.62,0.9921,0.034,12.8,6
697,3.47,2.1,0.67,0.9972,0.066,9.5,6
698,3.47,2.1,0.67,0.9972,0.066,9.5,6
699,3.31,3.2,0.53,1.0001,0.087,9.7,5
700,3.11,2.1,0.62,0.9986,0.071,10.8,6
701,3.08,2.9,0.57,0.9984,0.076,10.1,6
702,3.47,2.1,0.67,0.9972,0.066,9.5,6
703,3.47,2.1,0.67,0.997,0.067,9.4,6
704,3.32,2.6,0.7,0.9972,0.073,9.6,4
705,3.29,1.6,0.54,0.998,0.078,9.7,4
706,3.37,6,0.49,0.999,0.073,9.9,5
707,3.4,2,0.47,0.9956,0.093,10,5
708,3.37,3,0.51,0.9966,0.077,10.5,5
709,3.34,2.5,0.61,0.996,0.068,11.6,6
710,3.27,1.6,0.66,0.9983,0.062,10,6
711,3.06,2.8,0.57,0.9985,0.08,10.1,5
712,3.38,3,0.61,0.9998,0.093,9.5,5
713,3.36,3.2,0.45,0.9992,0.084,9.4,5
714,3.34,2.3,0.46,0.9976,0.075,9.4,5
715,3.28,2.6,0.51,0.998,0.078,9.8,5
716,3.29,2.7,0.48,0.9967,0.069,9.2,6
717,3.34,2.3,0.46,0.9976,0.075,9.4,5
718,3.21,2.6,0.57,0.9968,0.079,10,5
719,3.22,2,0.44,0.9976,0.082,9.6,5
720,3.46,3.9,0.54,0.9976,0.086,9.5,5
721,3.22,2,0.44,0.9976,0.082,9.6,5
722,3.1,2.85,0.53,0.9982,0.094,9.2,5
723,3.21,2.7,0.59,0.9968,0.084,10,5
724,2.94,2.2,1.62,0.9965,0.053,9.5,5
725,3.54,3.1,0.6,0.9958,0.086,11.2,4
726,3.29,3,0.55,0.9976,0.077,10.4,5
727,3.43,2.8,0.72,0.9994,0.084,11.1,6
728,3.46,1.8,0.68,0.997,0.067,9.5,5
729,3.46,1.8,0.68,0.997,0.067,9.5,5
730,3.61,3.2,0.49,0.995,0.071,12.7,6
731,3.17,2.3,0.67,0.9982,0.387,9.6,5
732,3.44,3.45,0.52,0.9994,0.088,11.5,5
733,3.39,2.1,0.47,0.9966,0.092,9.6,5
734,3.55,2.7,0.6,0.998,0.082,9.5,5
735,3.48,2,0.62,0.9987,0.075,9.3,5
736,3.26,2.1,0.5,0.9963,0.112,9.5,5
737,3.26,2.1,0.5,0.9963,0.112,9.5,5
738,3.5,2.5,0.65,1.0002,0.093,9.3,6
739,3.1,2.8,0.56,0.9983,0.092,9.2,5
740,3.35,2.4,0.6,0.999,0.088,9.3,5
741,3.45,4.2,0.68,0.9965,0.075,11.5,6
742,3.21,2.6,0.57,0.99788,0.078,9.5,5
743,3.46,1.9,0.65,0.9972,0.065,9.2,5
744,3.13,2.8,0.53,1.00024,0.096,10,5
745,3.13,2.7,0.51,1.0001,0.095,9.5,5
746,3.52,2.1,0.73,0.99768,0.07,9.5,6
747,3.3,2.5,0.47,0.9978,0.08,9,6
748,3.3,2.6,0.48,0.99782,0.083,9.4,5
749,3.52,2.1,0.72,0.99761,0.071,9.6,6
750,3.52,2.1,0.73,0.99768,0.07,9.5,6
751,3.29,2.9,0.55,0.99803,0.089,9.5,5
752,3.29,2.9,0.55,0.99803,0.089,9.5,5
753,3.39,2.5,0.61,0.99785,0.097,9.4,5
754,3.29,2.9,0.55,0.99803,0.089,9.5,5
755,3.09,1.7,1.06,0.99656,0.415,9.1,6
756,3.51,1.9,0.43,0.99525,0.058,10.7,6
757,3.6,2,0.46,0.99488,0.057,11.2,6
758,3.25,2.2,0.5,0.99656,0.084,9.8,5
759,3.25,2.2,0.5,0.99656,0.084,9.8,5
760,3.19,2.5,0.52,0.99823,0.092,9.2,5
761,3.23,2.8,0.57,0.99779,0.075,9.7,5
762,3.25,2,0.42,0.99738,0.096,9.6,5
763,3.31,1.7,0.53,0.99701,0.069,10,6
764,3.25,2,0.42,0.99738,0.096,9.6,5
765,3.31,2.8,0.55,0.99888,0.093,9.5,6
766,3.31,3,0.54,0.99888,0.091,9.5,6
767,3.14,2.9,0.54,0.99738,0.089,9.4,5
768,3.45,2.7,0.62,0.99938,0.103,9.5,5
769,3.55,2.3,0.53,0.99744,0.082,9.7,6
770,3.39,1.9,0.54,0.99668,0.076,9.6,5
771,3.55,2.3,0.53,0.99744,0.082,9.7,6
772,3.28,2.4,0.55,0.9978,0.082,9.4,5
773,3.27,2.3,0.55,0.99782,0.082,9.4,5
774,3.3,1.8,0.92,0.9973,0.157,9.5,6
775,3.31,1.8,0.91,0.99727,0.157,9.5,6
776,3.43,3,0.46,0.99586,0.102,10,5
777,3.4,2.4,0.6,0.99612,0.243,10.3,6
778,3.4,2.4,0.59,0.9961,0.241,10.3,6
779,3.36,3.4,0.61,0.99788,0.079,10.5,5
780,3.5,2.6,0.6,0.99745,0.076,9.8,5
781,3.31,2,0.6,0.99676,0.19,9.4,6
782,3.66,2.4,0.65,0.99732,0.114,9.8,5
783,3.36,2.4,0.53,0.99814,0.081,10,5
784,3.66,2.4,0.65,0.99732,0.114,9.8,5
785,3.55,2.5,0.59,0.99746,0.077,9.8,5
786,3.21,2.3,0.5,0.9982,0.083,9.5,5
787,3.21,2.3,0.5,0.9982,0.083,9.5,5
788,3.18,2.2,0.56,0.9991,0.079,10.1,6
789,3.18,2.2,0.56,0.9991,0.079,10.1,6
790,3.09,2.9,0.52,0.998,0.099,9.3,5
791,3.33,2.6,0.68,0.99708,0.082,9.7,6
792,3.23,2.9,0.54,0.99818,0.084,9.6,5
793,3.48,2.5,0.6,0.99745,0.081,9.7,6
794,3.38,2.6,0.56,0.99639,0.055,10.8,5
795,3.17,2.3,0.53,0.99531,0.065,12.5,6
796,2.99,2.6,1.18,0.99786,0.132,10.2,5
797,3.1,2.5,0.74,0.99746,0.126,9.6,5
798,3.24,1.6,0.81,0.99526,0.038,10.8,7
799,3.29,3.6,0.52,0.9987,0.082,10.7,6
800,3.29,3.6,0.52,0.9987,0.082,10.7,6
801,3.25,4,0.51,0.99641,0.082,9.4,5
802,3.23,3.3,0.44,0.99735,0.068,10,5
803,3.56,1.7,0.94,0.99264,0.044,12.9,7
804,3.24,2.5,0.66,0.9971,0.114,9.6,6
805,3.26,2.7,0.57,0.99682,0.084,9.9,6
806,3.33,2.4,0.7,0.99356,0.052,12.8,7
807,3.27,2,0.71,0.99386,0.041,12.5,7
808,3.33,2.4,0.7,0.99356,0.052,12.8,7
809,3.26,1.9,0.86,0.99702,0.165,9.2,5
810,3.22,2.8,0.55,0.99693,0.07,10.3,6
811,3.3,2.6,0.47,0.99562,0.068,10.5,5
812,3.09,2.8,0.68,1.00012,0.072,10.9,6
813,3.24,2.5,0.71,0.99818,0.099,10.8,5
814,3.44,2.1,0.58,0.99462,0.102,11.4,4
815,3.21,2.8,0.76,0.99939,0.103,11.3,6
816,3.24,2.5,0.71,0.99818,0.099,10.8,5
817,3.23,3.2,0.58,0.9984,0.081,10.5,6
818,3.28,1.6,0.73,0.99545,0.084,11.9,6
819,3.29,2.35,0.45,0.99632,0.071,9.4,5
820,3.28,3.2,0.54,0.99976,0.097,9.6,5
821,3.34,1.9,0.6,0.99606,0.099,9.7,5
822,3.71,2.1,0.74,0.99154,0.048,14,7
823,3.61,2,0.64,0.9973,0.076,9.8,5
824,3.61,2,0.64,0.9973,0.076,9.8,5
825,3.24,2.8,0.53,0.99682,0.068,10.3,5
826,3.36,2.8,0.49,0.99624,0.076,10.7,5
827,3.4,2.3,0.64,0.9951,0.05,11,7
828,3.36,2.8,0.49,0.99624,0.076,10.7,5
829,3.46,2.3,0.74,0.99417,0.065,12.7,8
830,3.56,2.1,0.77,0.99376,0.071,11.1,6
831,3.38,2.5,0.55,0.99632,0.058,10.9,4
832,3.56,2.1,0.77,0.99376,0.071,11.1,6
833,3.38,1.5,0.86,0.99832,0.145,9.9,3
834,3.38,1.6,0.86,0.99836,0.147,9.9,4
835,3.32,1.6,0.47,0.99694,0.088,9.4,5
836,3.39,1.5,0.51,0.99655,0.066,9.3,5
837,3.26,2.4,0.39,0.99064,0.012,11.7,7
838,3.26,2.4,0.39,0.99064,0.012,11.7,7
839,3.24,1.6,0.83,0.99672,0.075,11.2,7
840,3.46,2.2,0.47,0.99647,0.092,10,5
841,3.24,2.65,0.77,0.99736,0.085,12.1,7
842,3.45,3,0.63,0.99629,0.115,10.3,5
843,3.23,2.6,0.72,0.99708,0.119,10.9,6
844,3.28,2,0.62,0.9963,0.088,9.4,5
845,3.18,1.7,0.83,0.9959,0.062,10.6,6
846,3.59,1.8,0.66,0.99689,0.081,9.8,5
847,3.59,1.8,0.66,0.99689,0.081,9.8,5
848,3.5,1.8,0.7,0.9977,0.078,9.9,6
849,3.59,1.8,0.66,0.99689,0.081,9.8,5
850,3.58,1.6,0.66,0.99689,0.08,9.8,5
851,3.28,1.9,0.55,0.99708,0.085,9.5,5
852,3.28,1.9,0.55,0.99708,0.085,9.5,5
853,3.22,2.5,1.07,0.99801,0.08,9.7,5
854,3.47,1.5,0.73,0.99652,0.08,10.9,6
855,3.47,1.5,0.73,0.99652,0.08,10.9,6
856,3.51,2.5,0.71,0.99538,0.071,11.7,7
857,3.47,1.5,0.73,0.99652,0.08,10.9,6
858,3.4,2.5,0.78,0.99594,0.073,11.3,7
859,3.15,1.7,0.67,0.99686,0.054,10.6,7
860,3.4,1.8,0.82,0.99438,0.074,11.2,6
861,3.51,2.7,0.54,0.99746,0.077,9.5,5
862,3.66,2,0.6,0.99357,0.039,11.5,6
863,3.24,2.7,0.44,0.99628,0.067,10.4,5
864,3.51,2.5,0.53,0.99746,0.078,9.7,5
865,3.51,2.7,0.54,0.99746,0.077,9.5,5
866,3.51,2.6,0.54,0.99748,0.077,9.7,5
867,3.41,2.3,0.83,0.99438,0.071,11.3,6
868,3.4,2,0.84,0.99438,0.072,11.2,6
869,3.4,1.8,0.82,0.99438,0.074,11.2,6
870,3.44,2,0.64,0.99578,0.08,10.9,6
871,3.41,2.1,0.57,0.99371,0.064,11.8,6
872,3.53,1.5,0.57,0.99522,0.086,10.6,5
873,3.43,2,0.54,0.99576,0.067,10,4
874,3.23,1.6,0.58,0.99552,0.067,11.1,7
875,3.12,2.1,0.65,0.99664,0.104,11.8,7
876,3.31,2.8,0.79,0.99614,0.109,11.8,7
877,3.4,2.2,0.58,0.99517,0.067,10.9,4
878,3.41,2.1,0.57,0.99371,0.064,11.8,6
879,3.22,4,0.5,0.99787,0.094,10,6
880,3.53,2.5,0.55,0.99745,0.076,9.5,5
881,3.15,1.6,0.49,0.99576,0.078,9.9,5
882,3.48,2.1,0.65,0.99533,0.068,11.4,6
883,3.22,3.1,0.78,0.99536,0.194,12,6
884,3.53,2.5,0.55,0.99745,0.076,9.5,5
885,3.22,4,0.5,0.99787,0.094,10,6
886,3.34,2.5,0.64,0.99824,0.086,10.5,5
887,3.33,2.4,0.65,0.99836,0.083,10.4,6
888,3.15,2.6,0.79,0.99577,0.066,12.1,7
889,3.43,2.5,0.56,0.99491,0.072,11.2,6
890,3.22,6.6,0.68,1.00289,0.112,9.3,5
891,3.44,2,0.58,0.99576,0.071,10.1,5
892,3.53,2.3,0.57,0.99743,0.078,9.7,5
893,3.22,1.9,0.65,0.99774,0.082,9.3,6
894,3.53,2.3,0.57,0.99743,0.078,9.7,5
895,3.53,2.2,0.58,0.99745,0.08,9.8,6
896,3.42,2.3,0.58,0.9955,0.08,10.7,6
897,3.31,2.4,0.77,0.99444,0.078,12.5,7
898,3.42,2.3,0.58,0.9955,0.08,10.7,6
899,3.31,2.4,0.77,0.99444,0.078,12.5,7
900,3.48,3.4,0.49,0.99892,0.084,11,3
901,3.4,2.6,0.69,0.99562,0.056,11.8,5
902,3.58,2.4,0.69,0.99736,0.08,10.8,7
903,3.58,2.4,0.69,0.99736,0.08,10.8,7
904,3.41,6,0.59,0.9962,0.06,10.8,7
905,3.41,6,0.59,0.9962,0.06,10.8,7
906,3.23,3,0.59,0.998,0.081,9.5,5
907,3.39,2.6,0.71,0.9964,0.084,11,5
908,3.59,2.2,0.54,0.9948,0.079,11.5,6
909,3.43,2.4,0.59,0.99528,0.078,10.8,6
910,3.29,1.2,0.52,0.99331,0.059,11.5,6
911,3.23,3.8,0.57,0.99577,0.132,13.2,6
912,3.18,9,0.6,0.99901,0.114,10.9,6
913,3.33,2.9,0.62,0.99674,0.065,12.2,6
914,3.27,4.6,0.64,0.99639,0.094,12.2,7
915,3.29,1.2,0.52,0.99331,0.059,11.5,6
916,3.27,2.2,0.67,0.99512,0.079,11.9,6
917,3.62,1.5,0.61,0.99395,0.161,11,5
918,3.38,8.8,0.64,0.99824,0.084,10.1,6
919,3.3,2.2,0.72,0.9964,0.081,11,6
920,3.38,1.8,0.89,0.99504,0.072,11.8,6
921,3.24,2.3,0.56,0.99786,0.091,10.5,5
922,3.3,2.2,0.72,0.9964,0.081,11,6
923,3.38,1.8,0.89,0.99504,0.072,11.8,6
924,3.38,8.8,0.64,0.99824,0.084,10.1,6
925,3.18,2.3,0.8,0.99516,0.055,11.2,5
926,3.47,1.9,0.87,0.99604,0.064,11,7
927,3.47,2.3,0.9,0.99786,0.061,10.2,6
928,3.2,2.2,0.59,0.99736,0.093,9.2,4
929,3.18,2.3,0.8,0.99516,0.055,11.2,5
930,3.3,3.3,0.73,0.99468,0.063,12,7
931,3.69,1.9,0.73,0.99746,0.08,10.5,5
932,3.48,2,0.65,0.99748,0.074,9.8,5
933,3.45,1.9,0.59,0.9971,0.078,9.5,6
934,3.48,2,0.65,0.99748,0.074,9.8,5
935,3.69,1.9,0.73,0.99746,0.08,10.5,5
936,3.39,2.3,0.72,0.99543,0.06,11.8,6
937,3.39,2.3,0.72,0.99543,0.06,11.8,6
938,3.07,1.4,0.6,0.99791,0.071,10.4,4
939,3.34,2.8,0.72,0.99356,0.068,12.9,7
940,3.61,1.6,0.54,0.99425,0.073,11.4,5
941,3.36,2.2,0.76,0.99509,0.074,12.4,7
942,3.19,5,0.52,0.99484,0.082,12.5,7
943,3.22,2.6,0.64,0.99834,0.092,10,7
944,3.24,2.3,0.6,0.99864,0.094,9.7,7
945,3.27,3.8,0.64,0.99498,0.09,12.1,7
946,3.14,2,0.79,0.99566,0.071,11.1,7
947,3.29,4.1,0.99,0.99745,0.092,12,7
948,3.26,2.1,0.62,0.99408,0.093,12.4,7
949,3.41,1.8,0.76,0.99552,0.075,11.9,7
950,3.41,1.8,0.76,0.99552,0.075,11.9,7
951,3.41,1.8,0.76,0.99552,0.075,11.9,7
952,3.26,2.1,0.62,0.99408,0.093,12.4,7
953,3.31,2.2,0.68,0.99536,0.058,11.2,7
954,3.2,2.1,0.69,0.99458,0.052,12.1,7
955,3.44,2.7,0.54,0.99538,0.082,12.2,6
956,3.36,1.9,0.67,0.99648,0.09,10.4,5
957,3.31,2.1,0.62,0.99568,0.111,11.3,6
958,3.29,2,0.58,0.99613,0.088,11.1,6
959,3.47,2.3,0.71,0.99519,0.12,11.3,7
960,3.36,2,0.61,0.99735,0.089,10,5
961,3.16,1.9,0.85,0.99518,0.058,11.1,6
962,3.27,1.6,0.62,0.99592,0.078,9.3,5
963,3.38,2.1,0.69,0.99654,0.115,9.5,5
964,3.15,2,0.69,0.99546,0.1,11.2,6
965,3.16,1.9,0.85,0.99518,0.058,11.1,6
966,3.34,2.4,0.86,0.99554,0.065,11,6
967,3.13,2.4,0.58,0.99604,0.103,11.9,7
968,3.13,2.1,0.48,0.99733,0.097,9.2,5
969,3.2,2.4,0.6,0.9943,0.068,12.2,6
970,3.46,2.9,0.61,0.99669,0.079,10.2,5
971,3.33,1.9,0.87,0.99724,0.066,10.9,6
972,3.33,1.9,0.87,0.99724,0.066,10.9,6
973,3.22,2.4,0.65,0.99643,0.104,11.6,7
974,3.52,1.7,0.63,0.99605,0.079,10.7,5
975,3.3,5.9,0.62,0.99658,0.073,12.1,7
976,3.44,2.1,0.52,0.997,0.083,9.4,5
977,3.44,2.1,0.52,0.997,0.083,9.4,5
978,3.15,2.6,0.5,0.99801,0.109,9.1,5
979,3.28,3.6,0.49,0.99416,0.061,11.3,7
980,3.13,1.4,0.63,0.9969,0.075,10.4,5
981,3.32,1.9,0.71,0.99774,0.065,10.5,6
982,3.25,1.9,0.62,0.99712,0.079,10,5
